Year,Rk,Player Name,Team Name,Team Rank,Pos,Pos2,Wt,Bats,Throws,Born Date,Place Of Birth,DraftYear,Round,Pick,Team,HiLvl,RookieYear,LastMLBSeasonToDate,BATop100,BATeam,BPTop100,FGTop100,MLBPipelineTop100,MLBPipelineTeam,Made_MLB
2015,93,Tyrone Taylor,Milwaukee Brewers,1,CF-RF,CF,185,R,R,1/22/94,"Torrance,CA",2012,2,92,MIL,MLB,2019,2020,93,1,NA,NA,NA,NA,1
2015,97,Reese McGuire,Pittsburgh Pirates,5,C,C,181,L,R,3/2/95,"Covington,WA",2013,1,14,PIT,MLB,2018,2020,97,5,NA,NA,NA,NA,1
2015,85,DJ Peterson,Seattle Mariners,2,3B-1B,3B,205,R,R,12/31/91,"Gilbert,AZ",2013,1,12,SEA,AAA,NA,NA,85,2,NA,NA,NA,NA,0
2016,1,Corey Seager,Los Angeles Dodgers,1,SS,SS,205,L,R,4/27/94,"Kannapolis,NC",2012,1,18,LAN,MLB,2015,2020,1,1,1,1,NA,NA,1
2016,2,Byron Buxton,Minnesota Twins,1,CF-OF,CF,190,R,R,12/18/93,"Baxley,GA",2012,1,2,MIN,MLB,2015,2020,2,1,2,1,NA,NA,1
2016,8,Orlando Arcia,Milwaukee Brewers,1,SS,SS,165,R,R,8/4/94,"Anaco,VZ",2010,0,0,MIL,MLB,2016,2020,8,1,6,1,NA,NA,1
2016,9,Trea Turner,Washington Nationals,2,SS,SS,160,R,R,6/30/93,"Lake Worth,FL",2014,1,13,SDN,MLB,2015,2020,9,2,11,2,NA,NA,1
2016,10,Joey Gallo,Texas Rangers,1,LF-OF,LF,205,L,R,11/19/93,"Las Vegas,NV",2012,1,39,TEX,MLB,2015,2020,10,1,9,1,NA,NA,1
2016,21,Nomar Mazara,Texas Rangers,3,RF-OF,RF,195,L,L,4/26/95,"Santo Domingo,DR",2011,0,0,TEX,MLB,2016,2020,21,3,18,2,NA,NA,1
2016,27,Nick Williams,Philadelphia Phillies,2,RF-OF,RF,195,L,L,9/8/93,"Galveston,TX",2012,2,93,TEX,MLB,2017,2019,27,2,64,3,NA,NA,1
2016,29,Adalberto Mondesi,Kansas City Royals,1,SS-2B,SS,180,R,R,7/27/95,"San Antonio,TX",2011,0,0,KCA,MLB,2016,2020,29,1,37,1,NA,NA,1
2016,30,Max Kepler,Minnesota Twins,3,RF-OF,RF,215,L,L,2/10/93,"Stuttgart,GE",2009,0,0,MIN,MLB,2015,2020,30,3,44,3,NA,NA,1
2016,36,Gary Sanchez,New York Yankees,2,C-DH,C,195,R,R,12/2/92,"Santo Domingo,DR",2009,0,0,NYA,MLB,2015,2020,36,2,59,3,NA,NA,1
2016,39,David Dahl,Colorado Rockies,2,LF-OF,LF,185,L,R,4/1/94,"Birmingham,AL",2012,1,10,COL,MLB,2016,2020,39,2,46,3,NA,NA,1
2016,42,Alex Bregman,Houston Astros,3,3B-SS,3B,180,R,R,3/30/94,"Albuquerque,NM",2015,1,2,HOU,MLB,2016,2020,42,3,22,1,NA,NA,1
2016,45,Tim Anderson,Chicago White Sox,1,SS-DH,SS,180,R,R,6/23/93,"Tuscaloosa,AL",2013,1,17,CHA,MLB,2016,2020,45,1,47,2,NA,NA,1
2016,49,Trent Grisham,Milwaukee Brewers,3,CF-RF,CF,205,L,L,11/1/96,"Fort Worth,TX",2015,1,15,MIL,MLB,2019,2020,49,3,83,5,NA,NA,1
2016,55,Hector Olivera,Atlanta Braves,4,3B-LF,3B,163,R,R,4/5/85,"Havana,CU",2014,0,0,LAN,MLB,2015,2016,55,4,NA,NA,NA,NA,1
2016,62,Christian Arroyo,San Francisco Giants,1,3B-SS,3B,210,R,R,5/30/95,"Brooksville,FL",2013,1,25,SFN,MLB,2017,2020,62,1,82,1,NA,NA,1
2016,66,Jose Peraza,Cincinnati Reds,4,SS-2B,SS,210,R,R,4/30/94,"Barinas,VZ",2010,0,0,LAN,MLB,2015,2020,66,4,71,5,NA,NA,1
2016,67,Willson Contreras,Chicago Cubs,2,C-LF-,C,175,R,R,5/13/92,"Puerto Cabello,VZ",2009,0,0,CHN,MLB,2016,2020,67,2,50,2,NA,NA,1
2016,74,Daz Cameron,Houston Astros,5,CF-RF,CF,195,R,R,1/15/97,"McDonough,GA",2015,1,37,HOU,MLB,2020,2020,74,5,75,5,NA,NA,1
2016,93,Bobby Bradley,Cleveland Indians,5,1B-DH,1B,225,L,R,5/29/96,"Gulfport,MS",2014,3,97,CLE,MLB,2019,2019,93,5,93,3,NA,NA,1
2016,94,Brandon Drury,Arizona Diamondbacks,3,3B-2B,3B,190,R,R,8/21/92,"Grants Pass,OR",2010,13,404,ATL,MLB,2015,2020,94,3,3,NA,NA,NA,1
2016,95,Harold Ramirez,Pittsburgh Pirates,5,RF-LF,RF,170,R,R,9/6/94,"Cartagena,CB",2011,0,0,PIT,MLB,2019,2020,95,5,6,NA,NA,NA,1
2016,96,Andrew Knapp,Philadelphia Phillies,4,C-1B-,C,175,B,R,11/9/91,"Granite Bay,CA",2013,2,53,PHI,MLB,2017,2020,96,4,9,NA,NA,NA,1
2016,97,Tom Murphy,Colorado Rockies,7,C-DH-,C,200,R,R,4/3/91,"West Monroe,NY",2012,3,105,COL,MLB,2015,2019,97,7,10,NA,NA,NA,1
2016,98,Tyler Stephenson,Cincinnati Reds,5,C,C,225,R,R,8/16/96,"Kennesaw,GA",2015,1,11,CIN,MLB,2020,2020,98,5,7,NA,NA,NA,1
2016,99,Jorge Polanco,Minnesota Twins,6,SS-DH,SS,165,B,R,7/5/93,"San Pedro de Macoris,DR",2009,0,0,MIN,MLB,2014,2020,99,6,97,6,NA,NA,1
2016,88,Cornelius Randolph,Philadelphia Phillies,6,LF-RF,LF,205,L,R,6/2/97,"Griffin,GA",2015,1,10,PHI,AA,NA,NA,88,6,84,5,NA,NA,0
2017,1,Andrew Benintendi,Boston Red Sox,1,LF-OF,LF,180,L,L,7/6/94,"Cincinnati,OH",2015,1,7,BOS,MLB,2016,2020,1,1,1,1,NA,NA,1
2017,2,Yoan Moncada,Chicago White Sox,2,2B-3B,2B,205,B,R,5/27/95,"Abreus,CU",2015,0,0,BOS,MLB,2016,2020,2,2,2,1,NA,NA,1
2017,3,Dansby Swanson,Atlanta Braves,1,SS,SS,190,R,R,2/11/94,"Marietta,GA",2015,1,1,ARI,MLB,2016,2020,3,1,4,1,NA,NA,1
2017,7,Cody Bellinger,Los Angeles Dodgers,1,1B-RF,1B,180,L,L,7/13/95,"Chandler,AZ",2013,4,124,LAN,MLB,2017,2020,7,1,12,1,NA,NA,1
2017,8,Amed Rosario,New York Mets,1,SS-DH,SS,170,R,R,11/20/95,"Santo Domingo,DR",2012,0,0,NYN,MLB,2017,2020,8,1,5,1,NA,NA,1
2017,11,Ozzie Albies,Atlanta Braves,2,2B,2B,165,B,R,1/7/97,"Willemstad,CC",2013,0,0,ATL,MLB,2017,2020,11,2,10,2,NA,NA,1
2017,17,Mickey Moniak,Philadelphia Phillies,2,CF-RF,CF,185,L,R,5/13/98,"Encinitas,CA",2016,1,1,PHI,MLB,2020,2020,17,2,19,2,NA,NA,1
2017,18,Rafael Devers,Boston Red Sox,3,3B-DH,3B,240,L,R,10/24/96,"Sanchez,DR",2013,0,0,BOS,MLB,2017,2020,18,3,17,2,NA,NA,1
2017,24,Manuel Margot,San Diego Padres,2,CF-OF,CF,170,R,R,9/28/94,"San Cristobal,DR",2011,0,0,BOS,MLB,2016,2020,24,2,23,1,NA,NA,1
2017,35,Josh Bell,Pittsburgh Pirates,4,1B-DH,1B,195,B,R,8/14/92,"Irving,TX",2011,2,61,PIT,MLB,2016,2020,35,4,27,3,NA,NA,1
2017,39,Clint Frazier,New York Yankees,2,LF-RF,LF,185,R,R,9/6/94,"Loganville,GA",2013,1,5,CLE,MLB,2017,2020,39,2,24,2,NA,NA,1
2017,41,Jorge Alfaro,Philadelphia Phillies,3,C-3B-,C,185,R,R,6/11/93,"Sincelejo,CB",2010,0,0,TEX,MLB,2016,2020,41,3,72,3,NA,NA,1
2017,44,Hunter Renfroe,San Diego Padres,3,RF-LF,RF,211,R,R,1/28/92,"Jackson,MS",2013,1,13,SDN,MLB,2016,2020,44,3,42,3,NA,NA,1
2017,49,Raimel Tapia,Colorado Rockies,4,LF-CF,LF,160,L,L,2/4/94,"San Pedro de Macoris,DR",2010,0,0,COL,MLB,2016,2020,49,4,90,5,NA,NA,1
2017,55,Kevin Newman,Pittsburgh Pirates,5,SS-2B,SS,180,R,R,8/4/93,"Poway,CA",2015,1,19,PIT,MLB,2018,2020,55,5,59,5,NA,NA,1
2017,56,Zack Collins,Chicago White Sox,1,C-1B-,C,210,L,R,2/6/95,"Pembroke Pines,FL",2016,1,10,CHA,MLB,2019,2020,56,1,81,6,NA,NA,1
2017,62,Bradley Zimmer,Cleveland Indians,2,CF-OF,CF,185,L,R,11/27/92,"La Jolla,CA",2014,1,21,CLE,MLB,2017,2020,62,2,22,1,NA,NA,1
2017,63,Ian Happ,Chicago Cubs,2,CF-OF,CF,205,B,R,8/12/94,"Pittsburgh,PA",2015,1,9,CHN,MLB,2017,2020,63,2,28,2,NA,NA,1
2017,64,Albert Almora,Chicago Cubs,3,CF-OF,CF,180,R,R,4/16/94,"Hialeah,FL",2012,1,6,CHN,MLB,2016,2020,64,3,75,3,NA,NA,1
2017,71,Dominic Smith,New York Mets,2,1B-LF,1B,185,L,L,6/15/95,"Los Angeles,CA",2013,1,11,NYN,MLB,2017,2020,71,2,63,2,NA,NA,1
2017,72,AJ Reed,Houston Astros,5,1B-DH,1B,230,L,L,5/10/93,"Terre Haute,IN",2014,2,42,HOU,MLB,2016,2019,72,5,NA,NA,NA,NA,1
2017,73,Lourdes Gurriel,Toronto Blue Jays,---,SS-LF,LF,185,R,R,10/19/93,"Sancti Spiritus,CU",2016,0,0,TOR,MLB,2018,2020,73,NA,NA,NA,NA,NA,1
2017,90,Aaron Judge,New York Yankees,6,RF-OF,RF,282,R,R,4/26/92,"Sacramento,CA",2013,1,32,NYA,MLB,2016,2020,90,6,45,4,NA,NA,1
2017,93,Isan Diaz,Milwaukee Brewers,5,2B,2B,185,L,R,5/27/96,"Springfield,MA",2014,2,70,ARI,MLB,2019,2020,93,5,65,5,NA,NA,1
2017,94,Matt Chapman,Oakland Athletics,3,3B,3B,195,R,R,4/28/93,"Victorville,CA",2014,1,25,OAK,MLB,2017,2020,94,3,100,4,NA,NA,1
2017,95,Rowdy Tellez,Toronto Blue Jays,6,1B-DH,1B,220,L,L,3/16/95,"Elk Grove,CA",2013,30,895,TOR,MLB,2018,2020,95,6,5,NA,NA,NA,1
2017,42,Corey Ray,Milwaukee Brewers,4,CF-RF,CF,185,L,L,9/22/94,"Chicago,IL",2016,1,5,MIL,AAA,NA,NA,42,4,30,2,NA,NA,0
2017,45,Blake Rutherford,New York Yankees,3,RF-LF,RF,195,L,R,5/2/97,"Simi Valley,CA",2016,1,18,NYA,AA,NA,NA,45,3,37,3,NA,NA,0
2017,74,Casey Gillaspie,Tampa Bay Rays,3,1B,1B,230,B,L,1/25/93,"Milwaukee,WI",2014,1,20,TBA,AAA,NA,NA,74,3,5,NA,NA,NA,0
2017,77,Kevin Maitan,Atlanta Braves,7,3B-SS,3B,190,B,R,2/12/00,"Puerto Cabello,VZ",2016,0,0,ATL,A,NA,NA,77,7,32,3,NA,NA,0
2017,86,Delvin Perez,St. Louis Cardinals,3,SS,SS,165,R,R,11/24/98,"San Juan,PR",2016,1,23,SLN,A,NA,NA,86,3,91,4,NA,NA,0
2018,1,Ronald Acuna,Atlanta Braves,1,LF-CF,LF,205,R,R,12/18/97,"La Guaira,VZ",2014,0,0,ATL,MLB,2018,2020,1,1,2,2,1,NA,1
2018,2,Shohei Ohtani,Los Angeles Angels,1,DH-P,RF,198,L,R,7/5/94,"Iwate,JP",2017,0,0,ANA,MLB,2018,2020,2,1,1,1,1,NA,1
2018,3,Vladimir Guerrero,Toronto Blue Jays,1,3B-DH,3B,200,R,R,3/16/99,"Montreal,QC",2015,0,0,TOR,MLB,2019,2020,3,1,3,3,1,NA,1
2018,4,Eloy Jimenez,Chicago White Sox,1,LF-RF,LF,205,R,R,11/27/96,"Santo Domingo,DR",2013,0,0,CHN,MLB,2019,2020,4,1,6,4,1,NA,1
2018,5,Victor Robles,Washington Nationals,1,CF-OF,CF,185,R,R,5/19/97,"Santo Domingo,DR",2013,0,0,WAS,MLB,2017,2020,5,1,4,6,1,NA,1
2018,6,Gleyber Torres,New York Yankees,1,2B-SS,2B,175,R,R,12/13/96,"Caracas,VZ",2013,0,0,CHN,MLB,2018,2020,6,1,12,5,1,NA,1
2018,7,Nick Senzel,Cincinnati Reds,1,CF-2B,CF,205,R,R,6/29/95,"Atlanta,GA",2016,1,2,CIN,MLB,2019,2020,7,1,7,7,1,NA,1
2018,8,Bo Bichette,Toronto Blue Jays,2,SS-2B,SS,201,R,R,3/5/98,"Orlando,FL",2016,2,66,TOR,MLB,2019,2020,8,2,9,14,2,NA,1
2018,9,Fernando Tatis,San Diego Padres,1,SS,SS,185,R,R,1/2/99,"San Pedro de Macoris,DR",2015,0,0,CHA,MLB,2019,2020,9,1,5,8,1,NA,1
2018,15,Kyle Tucker,Houston Astros,2,RF-LF,RF,190,L,R,1/17/97,"Tampa,FL",2015,1,5,HOU,MLB,2018,2020,15,2,10,17,2,NA,1
2018,16,JP Crawford,Philadelphia Phillies,1,SS-3B,SS,180,L,R,1/11/95,"Lakewood,CA",2013,1,16,PHI,MLB,2017,2020,16,1,29,37,3,NA,1
2018,18,Lewis Brinson,Milwaukee Brewers,1,CF-OF,CF,170,R,R,5/8/94,"Tamarac,FL",2012,1,29,TEX,MLB,2017,2020,18,1,13,27,1,NA,1
2018,19,Willy Adames,Tampa Bay Rays,2,SS-2B,SS,180,R,R,9/2/95,"Santiago,DR",2012,0,0,DET,MLB,2018,2020,19,2,11,22,2,NA,1
2018,20,Francisco Mejia,Cleveland Indians,1,C-LF-,C,175,B,R,10/27/95,"Bani,DR",2012,0,0,CLE,MLB,2017,2020,20,1,17,11,1,NA,1
2018,21,Austin Hays,Baltimore Orioles,1,CF-RF,CF,205,R,R,7/5/95,"Port Orange,FL",2016,3,91,BAL,MLB,2017,2020,21,1,90,23,1,NA,1
2018,22,Brendan Rodgers,Colorado Rockies,1,SS-2B,SS,180,R,R,8/9/96,"Lake Mary,FL",2015,1,3,COL,MLB,2019,2020,22,1,18,15,1,NA,1
2018,31,Scott Kingery,Philadelphia Phillies,3,SS-CF,SS,180,R,R,4/29/94,"Phoenix,AZ",2015,2,48,PHI,MLB,2018,2020,31,3,25,35,2,NA,1
2018,32,Luis Urias,San Diego Padres,6,2B-SS,2B,160,R,R,6/3/97,"Magdalena de Kino,MX",2013,0,0,SDN,MLB,2018,2020,32,6,28,36,3,NA,1
2018,36,Willie Calhoun,Texas Rangers,1,LF-OF,LF,177,L,R,11/4/94,"Vallejo,CA",2015,4,132,LAN,MLB,2017,2020,36,1,46,53,2,NA,1
2018,37,Alex Verdugo,Los Angeles Dodgers,2,CF-RF,RF,192,L,L,5/15/96,"Tucson,AZ",2014,2,62,LAN,MLB,2017,2020,37,2,48,33,2,NA,1
2018,38,Estevan Florial,New York Yankees,2,CF-RF,CF,185,L,R,11/25/97,"Port-Au-Prince,HT",2014,0,0,NYA,MLB,2020,2020,38,2,79,44,2,NA,1
2018,39,Brendan McKay,Tampa Bay Rays,3,P-1B-,1B,212,L,L,12/18/95,"Darlington,PA",2017,1,4,TBA,MLB,2019,2019,39,3,22,25,3,NA,1
2018,40,Keibert Ruiz,Los Angeles Dodgers,3,C,C,165,B,R,7/20/98,"Valencia,VZ",2014,0,0,LAN,MLB,2020,2020,40,3,52,3,NA,NA,1
2018,43,Franklin Barreto,Oakland Athletics,2,2B-SS,2B,174,R,R,2/27/96,"Caracas,VZ",2012,0,0,TOR,MLB,2017,2020,43,2,32,66,3,NA,1
2018,44,Austin Meadows,Pittsburgh Pirates,2,RF-LF,RF,195,L,L,5/3/95,"Atlanta,GA",2013,1,9,PIT,MLB,2018,2020,44,2,47,45,2,NA,1
2018,45,Jake Bauers,Tampa Bay Rays,4,1B-LF,1B,195,L,L,10/6/95,"Huntington Beach,CA",2013,7,208,SDN,MLB,2018,2019,45,4,43,64,5,NA,1
2018,46,Jo Adell,Los Angeles Angels,2,CF-RF,RF,195,R,R,4/8/99,"Louisville,KY",2017,1,10,ANA,MLB,2020,2020,46,2,66,62,2,NA,1
2018,47,Keston Hiura,Milwaukee Brewers,4,2B,2B,185,R,R,8/2/96,"Valencia,CA",2017,1,9,MIL,MLB,2019,2020,47,4,24,56,1,NA,1
2018,49,Jesus Sanchez,Tampa Bay Rays,5,RF-CF,RF,210,L,R,10/7/97,"Higuey,DR",2014,0,0,TBA,MLB,2020,2020,49,5,49,57,4,NA,1
2018,51,Leody Taveras,Texas Rangers,2,CF-RF,CF,170,B,R,9/8/98,"Tenares,DR",2015,0,0,TEX,MLB,2020,2020,51,2,86,34,1,NA,1
2018,54,Austin Riley,Atlanta Braves,6,3B-LF,3B,240,R,R,4/2/97,"Southaven,MS",2015,1,41,ATL,MLB,2019,2020,54,6,55,97,8,NA,1
2018,55,Carson Kelly,St. Louis Cardinals,3,C-1B-,C,210,R,R,7/14/94,"Portland,OR",2012,2,86,SLN,MLB,2016,2020,55,3,85,46,3,NA,1
2018,56,Juan Soto,Washington Nationals,2,LF-OF,LF,185,L,L,10/25/98,"Santo Domingo,DR",2015,0,0,WAS,MLB,2018,2020,56,2,50,29,2,NA,1
2018,58,Luis Robert,Chicago White Sox,4,CF-RF,CF,185,R,R,8/3/97,"La Habana,CU",2017,0,0,CHA,MLB,2020,2020,58,4,21,28,3,NA,1
2018,59,Miguel Andujar,New York Yankees,5,3B-DH,3B,175,R,R,3/2/95,"San Cristobal,DR",2011,0,0,NYA,MLB,2017,2020,59,5,14,65,4,NA,1
2018,60,Anthony Alford,Toronto Blue Jays,3,CF-RF,CF,205,R,R,7/20/94,"Columbia,MS",2012,3,112,TOR,MLB,2017,2020,60,3,36,47,3,NA,1
2018,62,Yordan Alvarez,Houston Astros,3,LF-DH,LF,225,L,L,6/27/97,"Las Tunas,CU",2016,0,0,LAN,MLB,2019,2020,62,3,44,4,NA,NA,1
2018,63,Ryan McMahon,Colorado Rockies,2,2B-1B,2B,185,L,R,12/14/94,"Yorba Linda,CA",2013,2,42,COL,MLB,2017,2020,63,2,83,41,2,NA,1
2018,64,Jorge Mateo,Oakland Athletics,3,SS-2B,SS,188,R,R,6/23/95,"Santo Domingo,DR",2012,0,0,NYA,MLB,2020,2020,64,3,58,72,4,NA,1
2018,67,Kyle Lewis,Seattle Mariners,1,CF-LF,CF,195,R,R,7/13/95,"Snellville,GA",2016,1,11,SEA,MLB,2019,2020,67,1,70,1,NA,NA,1
2018,68,Chance Sisco,Baltimore Orioles,3,C-DH-,C,195,L,R,2/24/95,"Corona,CA",2013,2,61,BAL,MLB,2017,2020,68,3,3,NA,NA,NA,1
2018,71,Ryan Mountcastle,Baltimore Orioles,2,3B-1B,3B,210,R,R,2/18/97,"Winter Springs,FL",2015,1,36,BAL,MLB,2020,2020,71,2,98,2,NA,NA,1
2018,75,Monte Harrison,Milwaukee Brewers,5,CF-RF,RF,200,R,R,8/10/95,"Lees Summit,MO",2014,2,50,MIL,MLB,2020,2020,75,5,52,71,2,NA,1
2018,80,Brett Phillips,Milwaukee Brewers,7,RF-CF,CF,175,L,R,5/30/94,"Seminole,FL",2012,6,189,HOU,MLB,2017,2020,80,7,6,NA,NA,NA,1
2018,85,Michael Chavis,Boston Red Sox,2,1B-2B,1B,210,R,R,8/11/95,"Marietta,GA",2014,1,26,BOS,MLB,2019,2020,85,2,95,79,1,NA,1
2018,86,Tyler O'Neill,St. Louis Cardinals,5,LF-RF,LF,205,R,R,6/22/95,"Maple Ridge,BC",2013,3,85,SEA,MLB,2018,2020,86,5,61,94,4,NA,1
2018,88,Dustin Fowler,Oakland Athletics,4,CF-OF,CF,185,L,L,12/29/94,"Dublin,GA",2013,18,554,NYA,MLB,2017,2018,88,4,63,5,NA,NA,1
2018,89,Jahmai Jones,Los Angeles Angels,3,2B-CF,2B,210,R,R,8/4/97,"Norcross,GA",2015,2,70,ANA,MLB,2020,2020,89,3,69,93,4,NA,1
