Name,Team Name,BA_Pos,Position,Bats,Throws,List_Year,BA_Rank,Made_MLB,RookieYear,RookieYear2,WAR,Year2,WAR_Year2,Year3,WAR_Year3,Total_WAR,Group
Brian Goodwin,Washington Nationals,LF-CF,LF,L,R,2013,70,1,2016,2016,-0.1,2017,0.5,2018,0.6,1,51 - 75
Josh Vitters,Chicago Cubs,3B-LF,3B,R,R,2010,70,1,2012,2012,-1.4,2013,,2014,,-1.4,51 - 75
Jedd Gyorko,San Diego Padres,3B-2B,3B,R,R,2013,71,1,2013,2013,2.3,2014,-0.1,2015,0.9,3.1,51 - 75
Dominic Smith,New York Mets,1B-LF,1B,L,L,2017,71,1,2017,2017,-0.6,2018,-0.5,2019,0.8,-0.3,51 - 75
Derek Norris,Washington Nationals,C-1B,C,R,R,2011,72,1,2012,2012,0.5,2013,2.8,2014,1.9,5.2,51 - 75
Aaron Hicks,Minnesota Twins,CF-OF,CF,B,R,2013,72,1,2013,2013,0.4,2014,0.1,2015,2,2.5,51 - 75
Matt Davidson,Chicago White Sox,1B-DH,1B,R,R,2014,72,1,2013,2013,0.3,2014,0,2015,-0.9,-0.6,51 - 75
AJ Reed,Houston Astros,1B-DH,1B,L,L,2017,72,1,2016,2016,-0.7,2017,-0.2,2018,-0.1,-1,51 - 75
Starling Marte,Pittsburgh Pirates,CF-OF,CF,R,R,2012,73,1,2012,2012,0.2,2013,4.3,2014,4.5,9,51 - 75
Adam Eaton,Arizona Diamondbacks,RF-OF,RF,L,L,2013,73,1,2012,2013,0.3,2014,3.7,2015,3.9,7.9,51 - 75
Lourdes Gurriel,Toronto Blue Jays,SS-LF,LF,R,R,2017,73,1,2018,2018,0.4,2019,1.8,2020,1.2,3.4,51 - 75
Jio Mier,Houston Astros,SS-3B,SS,R,R,2010,73,0,,,,,,,,0,51 - 75
Garin Cecchini,Boston Red Sox,3B-1B,3B,L,R,2014,74,1,2014,2014,0.3,2015,-0.1,2016,,0.2,51 - 75
Casey Gillaspie,Tampa Bay Rays,1B,1B,B,L,2017,74,0,,,,,,,,0,51 - 75
Daz Cameron,Houston Astros,CF-RF,CF,R,R,2016,74,1,2020,2020,-0.3,2021,,2022,,-0.3,51 - 75
Avisail Garcia,Detroit Tigers,RF-OF,RF,R,R,2013,74,1,2012,2013,0,2014,-0.1,2015,-0.3,-0.4,51 - 75
Mookie Betts,Boston Red Sox,RF-OF,RF,R,R,2014,75,1,2014,2014,1.8,2015,4.8,2016,8.3,14.9,51 - 75
Marcell Ozuna,Miami Marlins,LF-OF,LF,R,R,2013,75,1,2013,2013,1.6,2014,4.5,2015,1.5,7.6,51 - 75
Josh Reddick,Boston Red Sox,RF-OF,RF,L,R,2010,75,1,2009,2010,0.1,2011,2,2012,3.7,5.8,51 - 75
Zack Cozart,Cincinnati Reds,3B-SS,3B,R,R,2012,75,1,2011,2012,1.9,2013,1.5,2014,1.3,4.7,51 - 75
Austin Jackson,Detroit Tigers,OF-CF,CF,R,R,2010,76,1,2010,2010,4.1,2011,2.5,2012,5.1,11.7,76 - 100
J.T. Realmuto,Miami Marlins,C-1B-,C,R,R,2015,76,1,2014,2015,0.2,2016,2.1,2017,4.4,6.7,76 - 100
Alen Hanson,Pittsburgh Pirates,2B-3B,2B,B,R,2014,76,1,2016,2016,-0.3,2017,-0.8,2018,0.6,-0.5,76 - 100
Cesar Puello,New York Mets,LF-RF,LF,R,R,2011,77,1,2017,2017,-0.1,2018,,2019,1,0.9,76 - 100
Tyler Austin,New York Yankees,1B-DH,1B,R,R,2013,77,1,2016,2016,0.1,2017,-0.1,2018,0.3,0.3,76 - 100
Fernando Martinez,New York Mets,OF-RF,RF,L,R,2010,77,1,2009,2010,-0.2,2011,0,2012,0.2,0,76 - 100
Kevin Maitan,Atlanta Braves,3B-SS,3B,B,R,2017,77,0,,,,,,,,0,76 - 100
Jake Lamb,Arizona Diamondbacks,3B-1B,3B,L,R,2015,78,1,2014,2015,1.4,2016,2.4,2017,2.5,6.3,76 - 100
Cory Spangenberg,San Diego Padres,2B-3B,2B,L,R,2012,78,1,2014,2014,0.1,2015,2,2016,0.1,2.2,76 - 100
Stephen Piscotty,St. Louis Cardinals,RF-OF,RF,R,R,2015,79,1,2015,2015,1.4,2016,1.9,2017,0.4,3.7,76 - 100
Jake Marisnick,Miami Marlins,CF-OF,CF,R,R,2014,79,1,2013,2014,0.5,2015,1.8,2016,0.5,2.8,76 - 100
Nick Franklin,Seattle Mariners,2B-SS,2B,B,R,2013,79,1,2013,2013,1.4,2014,0,2015,-0.8,0.6,76 - 100
Michael Conforto,New York Mets,RF-OF,RF,L,R,2015,80,1,2015,2015,1.9,2016,1,2017,4.4,7.3,76 - 100
Didi Gregorius,Arizona Diamondbacks,SS-DH,SS,L,R,2013,80,1,2012,2013,1.5,2014,0.3,2015,3.1,4.9,76 - 100
Matt Dominguez,Florida Marlins,3B-1B,3B,R,R,2011,81,1,2011,2011,-0.3,2012,0.3,2013,0.8,0.8,76 - 100
Jonathan Schoop,Baltimore Orioles,2B-SS,2B,R,R,2012,82,1,2013,2013,0,2014,0.4,2015,1.3,1.7,76 - 100
Jaff Decker,San Diego Padres,RF-CF,RF,L,L,2010,82,1,2013,2013,-0.3,2014,-0.1,2015,-0.1,-0.5,76 - 100
Jon Singleton,Houston Astros,1B-LF,1B,L,L,2014,82,1,2014,2014,-0.9,2015,0,2016,,-0.9,76 - 100
Billy McKinney,Chicago Cubs,RF-LF,RF,L,L,2015,83,1,2018,2018,0,2019,0,2020,0.1,0.1,76 - 100
Adam Moore,Seattle Mariners,C-1B,C,R,R,2010,83,1,2009,2010,-2.4,2011,-0.1,2012,0,-2.5,76 - 100
Devon Travis,Detroit Tigers,2B,2B,R,R,2014,84,1,2015,2015,2.2,2016,2.5,2017,0.7,5.4,76 - 100
Hank Conger,Los Angeles Angels,C-DH,C,B,R,2010,84,1,2010,2010,-0.2,2011,0.7,2012,-0.1,0.4,76 - 100
Cheslor Cuthbert,Kansas City Royals,1B-3B,1B,R,R,2012,84,1,2015,2015,0.2,2016,0.5,2017,-0.5,0.2,76 - 100
DJ Peterson,Seattle Mariners,3B-1B,3B,R,R,2015,85,0,,,,,,,,0,76 - 100
